Invoice ID,Date,Branch,City,Customer Type,Gender,Product,Category,Quantity,Unit Price,Sales,Payment,Cost,Profit
INV001,2026-01-18,C,Coimbatore,Member,Male,Laptop,Electronics,3,55000,165000,Cash,123581.43,41418.57
INV002,2026-03-06,A,Chennai,Member,Male,Chair,Furniture,1,"3,500.00",3500,Cash,2603.05,896.95
INV003,2026-01-01,B,Madurai,Member,Female,Table,Furniture,5,7000,35000,Card,26447.33,8552.67
INV004,2026-02-18,A,Chennai,Member,Female,Cooking Oil,Grocery,3,180,540,Card,389.04,150.96
INV005,2026-02-18,C,Coimbatore,Member,Female,Rice,Grocery,4,900,3600,Cash,2906.08,693.92
INV006,2026-01-30,C,Coimbatore,Normal,Male,Cooking Oil,Grocery,1,180,180,UPI,127.65,52.35
INV007,2026-02-16,B,Madurai,Member,Female,Smart Watch,Electronics,4,4500,18000,Card,14888.46,3111.54
INV008,2026-01-22,C,Coimbatore,Member,Male,Shoes,Fashion,1,2500,2500,Card,2054.57,445.43
INV009,2026-02-11,C,Coimbatore,Member,Male,Bookshelf,Furniture,5,6000,30000,UPI,22317.69,7682.31
INV010,2026-03-14,B,Madurai,Normal,Male,Coffee,Grocery,1,250,250,Cash,185.55,64.45
INV011,2026-01-18,C,Coimbatore,Member,Female,Sofa,Furniture,4,18000,72000,Cash,52457.35,19542.65
INV012,2026-01-18,B,Madurai,Normal,Male,Sofa,Furniture,2,18000,36000,UPI,32380.75,3619.25
INV013,2026-02-24,C,Coimbatore,Member,Female,Phone,Electronics,2,22000,44000,Card,37770.3,6229.7
INV014,2026-01-15,C,Coimbatore,Normal,Female,Bookshelf,Furniture,1,6000,6000,UPI,5016.34,983.66
INV015,2026-02-03,A,Chennai,Member,Male,Coffee,Grocery,4,250,1000,Cash,700.65,299.35
INV016,2026-03-11,A,Chennai,Member,Female,Cooking Oil,Grocery,3,180,540,Card,460.35,79.65
INV017,2026-01-31,B,Madurai,Member,Male,Laptop,Electronics,3,55000,165000,Cash,123401.93,41598.07
INV018,2026-03-02,C,Coimbatore,Member,Female,Chair,Furniture,2,3500,7000,Cash,5079.75,1920.25
INV019,2026-02-21,C,Coimbatore,Normal,Female,Table,Furniture,2,7000,14000,Cash,11796.26,2203.74
INV020,2026-01-03,A,Chennai,Member,Male,Chair,Furniture,2,3500,7000,UPI,4989.64,2010.36
INV021,2026-02-12,A,Chennai,Member,Male,Laptop,Electronics,1,55000,55000,Card,48459.62,6540.38
INV022,2026-03-15,C,Coimbatore,Normal,Male,Table,Furniture,2,7000,14000,Card,11825.39,2174.61
INV023,2026-02-15,A,Chennai,Normal,Female,Table,Furniture,1,7000,7000,Card,5822.58,1177.42
INV024,2026-01-14,A,Chennai,Member,Male,Laptop,Electronics,4,55000,220000,UPI,186041.4,33958.6
INV025,2026-02-01,B,Madurai,Member,Female,Table,Furniture,2,7000,14000,Cash,10579.93,3420.07
INV026,2026-01-12,C,Coimbatore,Member,Male,Laptop,Electronics,5,55000,275000,Card,238481.52,36518.48
INV027,2026-01-22,A,Chennai,Normal,Male,Sofa,Furniture,4,18000,72000,Card,63395.18,8604.82
INV028,2026-03-13,B,Madurai,Normal,Male,Coffee,Grocery,4,250,1000,UPI,839.32,160.68
INV029,2026-01-08,A,Chennai,Normal,Male,Cooking Oil,Grocery,5,180,900,UPI,762.43,137.57
INV030,2026-01-24,A,Chennai,Member,Male,Table,Furniture,5,7000,35000,Cash,25060.78,9939.22
INV031,2026-03-18,A,Chennai,Member,Male,Jacket,Fashion,5,3200,16000,Card,11987.89,4012.11
INV032,2026-02-20,A,Chennai,Member,Female,Biscuits,Grocery,3,60,180,Card,134.59,45.41
INV033,2026-03-14,A,Chennai,Member,Male,Rice,Grocery,4,900,3600,Cash,2967.23,632.77
INV034,2026-02-01,A,Chennai,Normal,Female,Shoes,Fashion,3,2500,7500,UPI,6571.3,928.7
INV035,2026-03-12,C,Coimbatore,Normal,Male,Bookshelf,Furniture,5,6000,30000,UPI,21046.94,8953.06
INV036,2026-02-06,A,Chennai,Member,Female,Rice,Grocery,5,900,4500,UPI,3289.9,1210.1
INV037,2026-02-24,B,Madurai,Normal,Male,Coffee,Grocery,1,250,250,UPI,179.61,70.39
INV038,2026-02-26,C,Coimbatore,Normal,Male,Cooking Oil,Grocery,3,180,540,UPI,395.45,144.55
INV039,2026-03-16,C,Coimbatore,Member,Female,Phone,Electronics,1,22000,22000,UPI,19072.22,2927.78
INV040,2026-01-27,B,Madurai,Member,Male,Headphones,Electronics,1,2500,2500,Card,2199.46,300.54
INV041,2026-01-23,A,Chennai,Normal,Male,Table,Furniture,2,7000,14000,UPI,12533.38,1466.62
